currentCompany,currentDesignation,skills,applicantId,functionalArea,totalWorkExp,profile_text,preprocessed_profile_text,top_job_matches
Rams Creative Technologies Pvt Ltd,UxUi Product Designer,"{""UIUX design"","" Web design"",""Application design"",""Poster design""}",AIBV3257,Design,28.0,"Rams Creative Technologies Pvt Ltd UxUi Product Designer {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "",  , W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 28.0 years of experience",ram creative technology pvt ltd uxui product designer u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[246 191 247]
no,no,{ReactJS},AIAM6094,Development,0.0,"no no {, R, e, a, c, t, J, S, } 0.0 years of experience",r e c j year experience,[ 19 215  70]
Mrudul Technologies Pvt Ltd,UIUX Designer,"{""UIUX design"","" Web design"",""Application design"",""Poster design""}",AIVB5204,Design,39.0,"Mrudul Technologies Pvt Ltd UIUX Designer {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "",  , W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 39.0 years of experience",mrudul technology pvt ltd uiux designer u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[246 247 198]
CM Cloud Control,ASSOCIATE UX DESIGNER,"{""UIUX design"",""Web design"",""Application design"",""Poster design""}",AICS4965,Design,32.0,"CM Cloud Control ASSOCIATE UX DESIGNER {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "", W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 32.0 years of experience",cm cloud control associate ux designer u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[246 198 247]
Anvshn pvt ltd,UiUx Design,"{""UIUX design"",""Web design"",""Application design"",""Poster design""}",AILJ5766,Design,42.0,"Anvshn pvt ltd UiUx Design {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "", W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 42.0 years of experience",anvshn pvt ltd uiux design u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[296 294  49]
Kinre,UIUX Designer,"{""UIUX design"",""Web design"",""Application design"",""Poster design""}",AISP4238,Design,33.0,"Kinre UIUX Designer {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "", W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 33.0 years of experience",kinre uiux designer u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[246 247 198]
Techthrive Solutions pvt ltd,UiUx Design,"{""UIUX design"",""Web design"",""Application design"",""Poster design""}",AIJT2556,Design,26.0,"Techthrive Solutions pvt ltd UiUx Design {, "", U, I, U, X,  , d, e, s, i, g, n, "", ,, "", W, e, b,  , d, e, s, i, g, n, "", ,, "", A, p, p, l, i, c, a, t, i, o, n,  , d, e, s, i, g, n, "", ,, "", P, o, s, t, e, r,  , d, e, s, i, g, n, "", } 26.0 years of experience",techthrive solution pvt ltd uiux design u u x e g n w e b e g n p p l c n e g n p e r e g n year experience,[296 294 146]
NTT DATA Business Solutions Private Limited,Senior JIRA Administration,"{""Jira Administrator""}",AIHP2712,Admin,132.0,"NTT DATA Business Solutions Private Limited Senior JIRA Administration {, "", J, i, r, a,  , A, d, m, i, n, i, s, t, r, a, t, o, r, "", } 132.0 years of experience",ntt data business solution private limited senior jira administration j r n r r year experience,[107  24  53]
Fresher,Fresher,"{ACCOUNTING,""core accounts""}",AIMS1589,Accounts,0.0,"Fresher Fresher {, A, C, C, O, U, N, T, I, N, G, ,, "", c, o, r, e,  , a, c, c, o, u, n, t, s, "", } 0.0 years of experience",fresher fresher c c u n n g c r e c c u n year experience,[ 22 281 103]
InvenTech Info Solutions,Senior Software Engineer,"{""React native"",Javascript}",AIVM8935,Development,92.0,"InvenTech Info Solutions Senior Software Engineer {, "", R, e, a, c, t,  , n, a, t, i, v, e, "", ,, J, a, v, a, s, c, r, i, p, t, } 92.0 years of experience",inventech info solution senior software engineer r e c n v e j v c r p year experience,[120 262 246]
SHARPSELL,SENIOR PRODUCT DESIGNER,"{""UIUX design""}",AIVP6140,Design,84.0,"SHARPSELL SENIOR PRODUCT DESIGNER {, "", U, I, U, X,  , d, e, s, i, g, n, "", } 84.0 years of experience",sharpsell senior product designer u u x e g n year experience,[246 191 247]
GIRNARSOFT,Lead UI UX Designer,"{""UIUX design""}",AIAS5207,Design,120.0,"GIRNARSOFT Lead UI UX Designer {, "", U, I, U, X,  , d, e, s, i, g, n, "", } 120.0 years of experience",girnarsoft lead ui ux designer u u x e g n year experience,[246 306 242]
Populitech Private Limited,Lead UX Designer Product Researcher,"{""UIUX design""}",AIAK7323,Design,144.0,"Populitech Private Limited Lead UX Designer Product Researcher {, "", U, I, U, X,  , d, e, s, i, g, n, "", } 144.0 years of experience",populitech private limited lead ux designer product researcher u u x e g n year experience,[246 242 191]
Calyx,Sr UX Designer,"{""UIUX design""}",AISR5374,Design,168.0,"Calyx Sr UX Designer {, "", U, I, U, X,  , d, e, s, i, g, n, "", } 168.0 years of experience",calyx sr ux designer u u x e g n year experience,[246 247 198]
Ambab Infotech Pvt Ltd,Design Lead,"{""UIUX design""}",AIRB4315,Design,144.0,"Ambab Infotech Pvt Ltd Design Lead {, "", U, I, U, X,  , d, e, s, i, g, n, "", } 144.0 years of experience",ambab infotech pvt ltd design lead u u x e g n year experience,[296 294 201]
Motivity Labs Pvt Ltd,Sr Software engineer,"{""UIUX design""}",AIVK4951,Design,168.0,"Motivity Labs Pvt Ltd Sr Software engineer {, "", U, I, U, X,  , d, e, s, i, g, n, "", } 168.0 years of experience",motivity lab pvt ltd sr software engineer u u x e g n year experience,[120 262 164]
Infiray Software Pvt Ltd,ANGULAR DEVELOPER,{Angular},AINK4839,Development,41.0,"Infiray Software Pvt Ltd ANGULAR DEVELOPER {, A, n, g, u, l, a, r, } 41.0 years of experience",infiray software pvt ltd angular developer n g u l r year experience,[231 306 303]
Xeedo  Tech  Pvt Ltd  ,Mean stack Developer,{Angular},AISK9541,Development,51.0,"Xeedo  Tech  Pvt Ltd   Mean stack Developer {, A, n, g, u, l, a, r, } 51.0 years of experience",xeedo tech pvt ltd mean stack developer n g u l r year experience,[155 159 158]
Boston Financial Advisory,Associate,"{""General Ledger""}",AIPP4997,Accounts,48.0,"Boston Financial Advisory Associate {, "", G, e, n, e, r, a, l,  , L, e, d, g, e, r, "", } 48.0 years of experience",boston financial advisory associate g e n e r l l e g e r year experience,[219  79  32]
Atato Pvt Ltd,Sr Mobile Developer FrontEnd Developer,"{""React native"",Javascript}",AIPP7047,Development,120.0,"Atato Pvt Ltd Sr Mobile Developer FrontEnd Developer {, "", R, e, a, c, t,  , n, a, t, i, v, e, "", ,, J, a, v, a, s, c, r, i, p, t, } 120.0 years of experience",atato pvt ltd sr mobile developer frontend developer r e c n v e j v c r p year experience,[286 155 227]
VHS Consulting India Pvt Ltd,Senior Software Engineer,"{""UiPath RPA solutions"",""Orchestrator good to have"",SQL,""Agile Framework""}",AIVM2296,Developer,90.0,"VHS Consulting India Pvt Ltd Senior Software Engineer {, "", U, i, P, a, t, h,  , R, P, A,  , s, o, l, u, t, i, o, n, s, "", ,, "", O, r, c, h, e, s, t, r, a, t, o, r,  , g, o, o, d,  , t, o,  , h, a, v, e, "", ,, S, Q, L, ,, "", A, g, i, l, e,  , F, r, a, m, e, w, o, r, k, "", } 90.0 years of experience",vhs consulting india pvt ltd senior software engineer u p h r p l u n r c h e r r g h v e q l g l e f r e w r k year experience,[120  43 262]
WNS It Global solution Pvt.Ltd,Asst. Manager,"{""UiPath RPA solutions"",""Orchestrator good to have"",SQL,""Agile Framework""}",AIAK3986,Development,84.0,"WNS It Global solution Pvt.Ltd Asst. Manager {, "", U, i, P, a, t, h,  , R, P, A,  , s, o, l, u, t, i, o, n, s, "", ,, "", O, r, c, h, e, s, t, r, a, t, o, r,  , g, o, o, d,  , t, o,  , h, a, v, e, "", ,, S, Q, L, ,, "", A, g, i, l, e,  , F, r, a, m, e, w, o, r, k, "", } 84.0 years of experience",wns global solution asst manager u p h r p l u n r c h e r r g h v e q l g l e f r e w r k year experience,[129  87 189]
InciteSol Pvt Ltd,Senior Software Engineer,{Angular},AISM4831,Development,40.0,"InciteSol Pvt Ltd Senior Software Engineer {, A, n, g, u, l, a, r, } 40.0 years of experience",incitesol pvt ltd senior software engineer n g u l r year experience,[120 262 128]
Professional Freelancer,Freelancer,"{""UiPath RPA solutions"",""Orchestrator good to have"",SQL,""Agile Framework""}",AIRK2814,Development,96.0,"Professional Freelancer Freelancer {, "", U, i, P, a, t, h,  , R, P, A,  , s, o, l, u, t, i, o, n, s, "", ,, "", O, r, c, h, e, s, t, r, a, t, o, r,  , g, o, o, d,  , t, o,  , h, a, v, e, "", ,, S, Q, L, ,, "", A, g, i, l, e,  , F, r, a, m, e, w, o, r, k, "", } 96.0 years of experience",professional freelancer freelancer u p h r p l u n r c h e r r g h v e q l g l e f r e w r k year experience,[230 222 117]
Flowserve India Control Pvt Ltd,Associate,"{""General Ledger""}",AINP3853,Accounts,48.0,"Flowserve India Control Pvt Ltd Associate {, "", G, e, n, e, r, a, l,  , L, e, d, g, e, r, "", } 48.0 years of experience",flowserve india control pvt ltd associate g e n e r l l e g e r year experience,[ 43  32 298]
GOKUL INDUSTRIES,Associate,"{""General Ledger""}",AIAS6369,Accounts,48.0,"GOKUL INDUSTRIES Associate {, "", G, e, n, e, r, a, l,  , L, e, d, g, e, r, "", } 48.0 years of experience",gokul industry associate g e n e r l l e g e r year experience,[ 32 164 251]
MULTIFLO INSTRUMENTS PVT LTD,SALES AND SERVICE ENGINEER,"{Sales,""Customer Relationship Management"",""Technical Sales""}",AIDK8982,Sales,36.0,"MULTIFLO INSTRUMENTS PVT LTD SALES AND SERVICE ENGINEER {, S, a, l, e, s, ,, "", C, u, s, t, o, m, e, r,  , R, e, l, a, t, i, o, n, s, h, i, p,  , M, a, n, a, g, e, m, e, n, t, "", ,, "", T, e, c, h, n, i, c, a, l,  , S, a, l, e, s, "", } 36.0 years of experience",multiflo instrument pvt ltd sale service engineer l e c u e r r e l n h p n g e e n e c h n c l l e year experience,[244 120  49]
Roorkee lab equipments and model pvt ltd,sales and marketing engineer,"{Sales,""Customer Relationship Management"",""Technical Sales""}",AIKK5874,Sales,60.0,"Roorkee lab equipments and model pvt ltd sales and marketing engineer {, S, a, l, e, s, ,, "", C, u, s, t, o, m, e, r,  , R, e, l, a, t, i, o, n, s, h, i, p,  , M, a, n, a, g, e, m, e, n, t, "", ,, "", T, e, c, h, n, i, c, a, l,  , S, a, l, e, s, "", } 60.0 years of experience",roorkee lab equipment model pvt ltd sale marketing engineer l e c u e r r e l n h p n g e e n e c h n c l l e year experience,[244  94   5]
DishTV India,Lead Product Manager,"{""Software as a Service"",""Business to Business"",""Product Management"",""Android Software Development Kit""}",AISJ9552,Management,50.0,"DishTV India Lead Product Manager {, "", S, o, f, t, w, a, r, e,  , a, s,  , a,  , S, e, r, v, i, c, e, "", ,, "", B, u, s, i, n, e, s, s,  , t, o,  , B, u, s, i, n, e, s, s, "", ,, "", P, r, o, d, u, c, t,  , M, a, n, a, g, e, m, e, n, t, "", ,, "", A, n, d, r, o, i, d,  , S, o, f, t, w, a, r, e,  , D, e, v, e, l, o, p, m, e, n, t,  , K, i, t, "", } 50.0 years of experience",dishtv india lead product manager f w r e e r v c e b u n e b u n e p r u c n g e e n n r f w r e e v e l p e n k year experience,[191  43 242]
AADITRI Housing Pvt Ltd,Assistant Manager,"{Recruitment,Payroll,""Operations and Administration""}",AIPU1362,Development,24.0,"AADITRI Housing Pvt Ltd Assistant Manager {, R, e, c, r, u, i, t, m, e, n, t, ,, P, a, y, r, o, l, l, ,, "", O, p, e, r, a, t, i, o, n, s,  , a, n, d,  , A, d, m, i, n, i, s, t, r, a, t, i, o, n, "", } 24.0 years of experience",aaditri housing pvt ltd assistant manager r e c r u e n p r l l p e r n n n r n year experience,[ 62 129  49]
Tech Mahindra,Human Resource Associate,"{Recruitment,Payroll,""Operations and Administration""}",AINS8987,HR,36.0,"Tech Mahindra Human Resource Associate {, R, e, c, r, u, i, t, m, e, n, t, ,, P, a, y, r, o, l, l, ,, "", O, p, e, r, a, t, i, o, n, s,  , a, n, d,  , A, d, m, i, n, i, s, t, r, a, t, i, o, n, "", } 36.0 years of experience",tech mahindra human resource associate r e c r u e n p r l l p e r n n n r n year experience,[197  32 164]
Prospect Infosystem,HR Corporate Recruiter,"{Recruitment,Payroll,""Operations and Administration""}",AISS9534,HR,26.0,"Prospect Infosystem HR Corporate Recruiter {, R, e, c, r, u, i, t, m, e, n, t, ,, P, a, y, r, o, l, l, ,, "", O, p, e, r, a, t, i, o, n, s,  , a, n, d,  , A, d, m, i, n, i, s, t, r, a, t, i, o, n, "", } 26.0 years of experience",prospect infosystem hr corporate recruiter r e c r u e n p r l l p e r n n n r n year experience,[291 147  89]
MALLIKA HOSPITALS,ADMINISTRATOR,"{Recruitment,Payroll,""Operations and Administration""}",AIPD2553,HR,36.0,"MALLIKA HOSPITALS ADMINISTRATOR {, R, e, c, r, u, i, t, m, e, n, t, ,, P, a, y, r, o, l, l, ,, "", O, p, e, r, a, t, i, o, n, s,  , a, n, d,  , A, d, m, i, n, i, s, t, r, a, t, i, o, n, "", } 36.0 years of experience",mallika hospital administrator r e c r u e n p r l l p e r n n n r n year experience,[226 154  19]
Fintech,CFO Consultant,"{""Merger and Acquisition"",""Profit and Loss"",""Cash flow"",""Corporate Finance""}",AIHP2502,Finance,180.0,"Fintech CFO Consultant {, "", M, e, r, g, e, r,  , a, n, d,  , A, c, q, u, i, s, i, t, i, o, n, "", ,, "", P, r, o, f, i, t,  , a, n, d,  , L, o, s, s, "", ,, "", C, a, s, h,  , f, l, o, w, "", ,, "", C, o, r, p, o, r, a, t, e,  , F, i, n, a, n, c, e, "", } 180.0 years of experience",fintech cfo consultant e r g e r n c q u n p r f n l c h f l w c r p r e f n n c e year experience,[268 229  19]
Schreiber Foods Pvt Ltd,Head Financial Planning and Control,"{""Merger and Acquisition"",""Profit and Loss"",""Cash flow"",""Corporate Finance""}",AIKT3330,Finance,204.0,"Schreiber Foods Pvt Ltd Head Financial Planning and Control {, "", M, e, r, g, e, r,  , a, n, d,  , A, c, q, u, i, s, i, t, i, o, n, "", ,, "", P, r, o, f, i, t,  , a, n, d,  , L, o, s, s, "", ,, "", C, a, s, h,  , f, l, o, w, "", ,, "", C, o, r, p, o, r, a, t, e,  , F, i, n, a, n, c, e, "", } 204.0 years of experience",schreiber food pvt ltd head financial planning control e r g e r n c q u n p r f n l c h f l w c r p r e f n n c e year experience,[219  79  81]
SIGNATURE HOMES REAL ESTATE FIRM,TALANT ACQUISITION AND HUMAN RESOURCE MANAGER,"{""Team Management"",""Data Management"",""Stake Holder Management""}",AIPM1245,HR,77.0,"SIGNATURE HOMES REAL ESTATE FIRM TALANT ACQUISITION AND HUMAN RESOURCE MANAGER {, "", T, e, a, m,  , M, a, n, a, g, e, m, e, n, t, "", ,, "", D, a, t, a,  , M, a, n, a, g, e, m, e, n, t, "", ,, "", S, t, a, k, e,  , H, o, l, d, e, r,  , M, a, n, a, g, e, m, e, n, t, "", } 77.0 years of experience",signature home real estate firm talant acquisition human resource manager e n g e e n n g e e n k e h l e r n g e e n year experience,[197  38 129]
Mangaldeep Tech Solutions,Manager HR,"{""Team Management"",""Data Management"",""Stake Holder Management""}",AIPM1936,HR,144.0,"Mangaldeep Tech Solutions Manager HR {, "", T, e, a, m,  , M, a, n, a, g, e, m, e, n, t, "", ,, "", D, a, t, a,  , M, a, n, a, g, e, m, e, n, t, "", ,, "", S, t, a, k, e,  , H, o, l, d, e, r,  , M, a, n, a, g, e, m, e, n, t, "", } 144.0 years of experience",mangaldeep tech solution manager hr e n g e e n n g e e n k e h l e r n g e e n year experience,[147 129 248]
Fresher,Fresher,"{""Accounts Payable"",""Accounts Receivable"",""General Ledger""}",AIMH7068,Accounts,0.0,"Fresher Fresher {, "", A, c, c, o, u, n, t, s,  , P, a, y, a, b, l, e, "", ,, "", A, c, c, o, u, n, t, s,  , R, e, c, e, i, v, a, b, l, e, "", ,, "", G, e, n, e, r, a, l,  , L, e, d, g, e, r, "", } 0.0 years of experience",fresher fresher c c u n p b l e c c u n r e c e v b l e g e n e r l l e g e r year experience,[ 22 281 103]
Fresher,Fresher,"{""Accounts Payable"",""Accounts Receivable"",""General Ledger""}",AIVK9062,Accounts,0.0,"Fresher Fresher {, "", A, c, c, o, u, n, t, s,  , P, a, y, a, b, l, e, "", ,, "", A, c, c, o, u, n, t, s,  , R, e, c, e, i, v, a, b, l, e, "", ,, "", G, e, n, e, r, a, l,  , L, e, d, g, e, r, "", } 0.0 years of experience",fresher fresher c c u n p b l e c c u n r e c e v b l e g e n e r l l e g e r year experience,[ 22 281 103]
Ratna Global Pvt ltd,Software Engineer,"{""React Js""}",AILS3969,Development,29.0,"Ratna Global Pvt ltd Software Engineer {, "", R, e, a, c, t,  , J, s, "", } 29.0 years of experience",ratna global pvt ltd software engineer r e c j year experience,[120 262 246]
GMS GLOBAL Solutions,REACT JS DEVELOPER,"{""React Js""}",AISK5770,Development,51.0,"GMS GLOBAL Solutions REACT JS DEVELOPER {, "", R, e, a, c, t,  , J, s, "", } 51.0 years of experience",gm global solution react j developer r e c j year experience,[204 297 293]
Cybage Software Services Pvt Ltd,Senior Software Engineer,"{""React Js""}",AIEK8773,Development,53.0,"Cybage Software Services Pvt Ltd Senior Software Engineer {, "", R, e, a, c, t,  , J, s, "", } 53.0 years of experience",cybage software service pvt ltd senior software engineer r e c j year experience,[120 262 128]
AVR Edge networks Pvt Ltd,Senior Software Engineer,"{""React Js""}",AIPG7259,Development,48.0,"AVR Edge networks Pvt Ltd Senior Software Engineer {, "", R, e, a, c, t,  , J, s, "", } 48.0 years of experience",avr edge network pvt ltd senior software engineer r e c j year experience,[120 161 154]
LTIMindtree,cybersecurity Consultant,"{""Information Security""}",AIHR6828,Information Security,39.0,"LTIMindtree cybersecurity Consultant {, "", I, n, f, o, r, m, a, t, i, o, n,  , S, e, c, u, r, i, t, y, "", } 39.0 years of experience",ltimindtree cybersecurity consultant n f r n e c u r year experience,[268 229 255]
Heritage Foods limited,Software Development Engineer ,{NodeJS},AICM8153,Development,17.0,"Heritage Foods limited Software Development Engineer  {, N, o, d, e, J, S, } 17.0 years of experience",heritage food limited software development engineer n e j year experience,[120 262 246]
Nouveau Labs Private Ltd,Software Engineer,{NodeJS},AIAK8328,Development,18.0,"Nouveau Labs Private Ltd Software Engineer {, N, o, d, e, J, S, } 18.0 years of experience",nouveau lab private ltd software engineer n e j year experience,[120 262 246]
Solugenix,RPA Business System Analyst,"{""UiPath RPA solutions"",""Orchestrator good to have"",SQL,""Agile Framework""}",AISM9204,Developer,75.0,"Solugenix RPA Business System Analyst {, "", U, i, P, a, t, h,  , R, P, A,  , s, o, l, u, t, i, o, n, s, "", ,, "", O, r, c, h, e, s, t, r, a, t, o, r,  , g, o, o, d,  , t, o,  , h, a, v, e, "", ,, S, Q, L, ,, "", A, g, i, l, e,  , F, r, a, m, e, w, o, r, k, "", } 75.0 years of experience",solugenix rpa business system analyst u p h r p l u n r c h e r r g h v e q l g l e f r e w r k year experience,[274 145 224]
